custom/pamdp_timestep,custom/agent_type,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/value_loss,
0,discrete,3.02,0.01,286,1,7,2048,,,,,,,,,,,
2048,discrete,2.81,0.01,302,2,13,4096,0.03325344,0.343896484,0.2,-1.075445304,-31.3025322,0.0003,-0.009571477,10,-0.016509935,0.000768672,
4096,discrete,3.43,0.02,321,3,19,6144,0.04486042,0.617578125,0.2,-0.987504997,-0.024770498,0.0003,-0.062996142,20,-0.060022364,0.000319698,
6144,discrete,3.84,0.02717731,343,4,23,8192,0.029757177,0.413427734,0.2,-0.860701145,-0.007271409,0.0003,-0.058729537,30,-0.0548266,0.000584211,
8192,discrete,4.53,0.03,367,5,27,10240,0.0571507,0.468408203,0.2,-0.649096895,0.072331846,0.0003,-0.002419833,40,-0.054060726,0.000627761,
10240,continuous,4.84,0.03217127,569,1,3,2048,,,,,,,,,,,
12288,continuous,4.16,0.04,553,2,7,4096,0.01320245,0.149121094,0.2,-4.265117985,-9.4672575,0.0003,-0.020033421,10,-0.009235031,0.001554042,1.0038508176803600
14336,continuous,4.11,0.04814022,563,3,10,6144,0.013684047,0.217871094,0.2,-4.276712926,0.090464473,0.0003,-0.036554225,20,-0.025386754,0.001165075,1.0084024667739900
16384,continuous,3.98,0.06,560,4,14,8192,0.017122015,0.245410156,0.2,-4.292638519,0.18248474597930900,0.0003,-0.046479482,30,-0.032809326,0.000835837,1.0159192085266100
18432,continuous,3.77,0.06,560,5,18,10240,0.015963454,0.232666016,0.2,-4.332699917,0.20958811044693000,0.0003,-0.012940254,40,-0.033807191,0.001065722,1.0338300466537500
20480,discrete,3.94,0.09,689,1,2,12288,0.048909437,0.244384766,0.2,-0.472398719,-0.059879184,0.0003,-0.054453567,50,-0.046414594,0.000753789,
22528,discrete,3.86,0.09,683,2,5,14336,0.016066551,0.099707031,0.2,-0.337758755,0.034735918045043900,0.0003,-0.04727361,60,-0.028705689,0.001355598,
24576,discrete,4.43,0.09,698,3,8,16384,0.008434225,0.051074219,0.2,-0.256141741,0.3196592926979070,0.0003,-0.033863999,70,-0.017159596,0.001071226,
26624,discrete,4.3,0.10,707,4,11,18432,0.003383012,0.025976563,0.2,-0.197553347,0.395246685,0.0003,-0.016701613,80,-0.007854633,0.001038934,
28672,discrete,4.3,0.10554698,720,5,14,20480,0.003634582,0.02734375,0.2,-0.189041259,0.3126521110534670,0.0003,0.000965683,90,-0.007435992,0.001117662,
30720,continuous,4.14,0.10,835,1,2,12288,0.016729303,0.244482422,0.2,-4.380156459,0.20284569263458300,0.0003,-0.041302737,50,-0.029465353,0.001371487,1.0491852760314900
32768,continuous,4.16,0.11,768,2,5,14336,0.02724861,0.356201172,0.2,-4.398557457,0.33742213249206500,0.0003,-0.009298166,60,-0.046350421,0.001093222,1.0483230352401700
34816,continuous,3.99,0.13,734,3,8,16384,0.02979875,0.342724609,0.2,-4.396000032,0.38775891065597500,0.0003,-0.047226705,70,-0.042113983,0.001363528,1.0494065284729000
36864,continuous,4.02,0.14,702,4,11,18432,0.022543613,0.291992188,0.2,-4.395879257,0.4052256941795350,0.0003,-0.026264297,80,-0.030901094,0.001778286,1.0486994981765700
38912,continuous,3.73,0.13477972,693,5,14,20480,0.014726898,0.191894531,0.2,-4.39122978,0.39450985193252600,0.0003,-0.014998414,90,-0.020591922,0.00238176,1.045714259147640
40960,discrete,3.85,0.15,675,1,3,22528,0.002622279,0.026074219,0.2,-0.17175519,0.43960171937942500,0.0003,-0.001841716,100,-0.007959656,0.00102251,
43008,discrete,4.04,0.16135461,608,2,6,24576,0.01196227,0.186474609,0.2,-0.32215601,0.3571591377258300,0.0003,-0.068152793,110,-0.031863062,0.002313298,
45056,discrete,4.07,0.16415262,580,3,10,26624,0.009642974,0.202832031,0.2,-0.318619898,0.37068045139312700,0.0003,-0.04149276,120,-0.033041105,0.003119262,
47104,discrete,4.78,0.20244008,549,4,14,28672,0.014302293,0.213574219,0.2,-0.29778032,0.3813672661781310,0.0003,-0.024164882,130,-0.036016953,0.003491651,
49152,discrete,5.01,0.21485209,528,5,19,30720,0.020242412,0.197851563,0.2,-0.248279672,0.387221098,0.0003,-0.018663773,140,-0.033809408,0.004188466,
51200,continuous,4.89,0.22,447,1,4,22528,0.01697756,0.200146484,0.2,-4.358167516,0.44990575313568100,0.0003,-0.006783014,100,-0.021544186,0.001993835,1.0265885591507000
53248,continuous,4.92,0.22068165,420,2,9,24576,0.010139448,0.140673828,0.2,-4.330296533,0.39854538440704300,0.0003,-0.013711438,110,-0.016146893,0.003969095,1.0250710248947100
55296,continuous,4.65,0.23041287,394,3,15,26624,0.011809649,0.176171875,0.2,-4.327997677,0.5317190289497380,0.0003,-0.014742791,120,-0.018555285,0.003611264,1.0246185064315800
57344,continuous,4.65,0.24357662,393,4,20,28672,0.012080191,0.179589844,0.2,-4.317991818,0.5379936993122100,0.0003,-0.01930185,130,-0.016336341,0.003736551,1.0184193849563600
59392,continuous,4.19,0.24,387,5,26,30720,0.012660759,0.186767578,0.2,-4.295229666,0.5815755426883700,0.0003,-0.027122114,140,-0.016296333,0.003554094,1.0113787651062000
61440,discrete,4.22,0.25,356,1,5,32768,0.028552722,0.134716797,0.2,-0.197175336,0.46486127376556400,0.0003,-0.060460031,150,-0.027207443,0.003851931,
63488,discrete,4.47,0.28,338,2,12,34816,0.013792365,0.081542969,0.2,-0.155539408,0.5271564424037930,0.0003,-0.039459471,160,-0.017271113,0.003759514,
65536,discrete,4.59,0.27,331,3,18,36864,0.00347245,0.038330078,0.2,-0.130291971,0.6491270363330840,0.0003,-0.001257469,170,-0.009263919,0.00285349,
67584,discrete,4.59,0.2820534,326,4,25,38912,0.002433167,0.036865234,0.2,-0.117246871,0.6679369211196900,0.0003,0.002610445,180,-0.004303387,0.002825398,
69632,discrete,4.51,0.27,319,5,32,40960,0.00186182,0.021142578,0.2,-0.112536331,0.7415696978569030,0.0003,0.061281625,190,-0.00211215,0.00214269,
71680,continuous,4.4,0.26592358,313,1,6,32768,0.013355294,0.183837891,0.2,-4.290484534,0.5411633253097530,0.0003,-0.027871175,150,-0.016335315,0.003986169,1.0131902694702100
73728,continuous,4.52,0.27959894,304,2,13,34816,0.011950759,0.161083984,0.2,-4.285116683,0.700324148,0.0003,-0.033783499,160,-0.015804916,0.002279029,1.0083208084106400
75776,continuous,4.26,0.29,292,3,21,36864,0.014726036,0.170507813,0.2,-4.292529579,0.7773787975311280,0.0003,-0.009483902,170,-0.017619565,0.001870653,1.015198826789860
