time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,custom/pamdp_timestep,custom/agent_type,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/std
1,2048,4.84,0.032171269999999995,10240,"continuous",569,3,,,,,,,,,,,
2,4096,4.16,0.04158855000000001,12288,"continuous",553,7,0.14912109375,-9.467257499694824,0.01320245,0.0015540417698503006,-0.020033420994877815,0.2,-4.265117985010147,-0.009235030996205752,0.0003,10,1.0038508176803589
3,6144,4.11,0.048140220000000004,14336,"continuous",563,10,0.21787109375,0.09046447277069092,0.013684047,0.0011650745316728716,-0.03655422478914261,0.2,-4.276712925732136,-0.025386754123610446,0.0003,20,1.0084024667739868
4,8192,3.98,0.05849854000000001,16384,"continuous",560,14,0.24541015625,0.18248474597930908,0.017122015,0.0008358368335393606,-0.046479482203722,0.2,-4.292638519406319,-0.032809326107962986,0.0003,30,1.0159192085266113
5,10240,3.77,0.06091766,18432,"continuous",560,18,0.232666015625,0.20958811044692993,0.015963454,0.0010657221284418484,-0.01294025406241417,0.2,-4.332699917256832,-0.03380719102860894,0.0003,40,1.0338300466537476
1,12288,4.14,0.09847006999999999,30720,"continuous",835,2,0.244482421875,0.20284569263458252,0.016729303,0.0013714869530303986,-0.04130273684859276,0.2,-4.38015645891428,-0.029465353096020407,0.0003,50,1.0491852760314941
2,14336,4.16,0.10805822,32768,"continuous",768,5,0.356201171875,0.33742213249206543,0.02724861,0.0010932217711797422,-0.009298166260123253,0.2,-4.3985574573278425,-0.04635042131121736,0.0003,60,1.0483230352401733
3,16384,3.99,0.12652843,34816,"continuous",734,8,0.342724609375,0.38775891065597534,0.02979875,0.001363528412548476,-0.04722670465707779,0.2,-4.396000032126904,-0.0421139829675667,0.0003,70,1.0494065284729004
4,18432,4.02,0.13580545,36864,"continuous",702,11,0.2919921875,0.4052256941795349,0.022543613,0.0017782857295969734,-0.02626429684460163,0.2,-4.395879256725311,-0.030901093780994416,0.0003,80,1.0486994981765747
5,20480,3.73,0.13477971999999996,38912,"continuous",693,14,0.19189453125,0.39450985193252563,0.014726898,0.002381760098069208,-0.014998413622379303,0.2,-4.39122978001833,-0.020591922274616082,0.0003,90,1.045714259147644
1,22528,4.89,0.22157805,51200,"continuous",447,4,0.200146484375,0.44990575313568115,0.01697756,0.0019938351557357236,-0.0067830136977136135,0.2,-4.358167515695095,-0.021544185889069922,0.0003,100,1.0265885591506958
2,24576,4.92,0.22068165000000003,53248,"continuous",420,9,0.140673828125,0.39854538440704346,0.010139448,0.003969094754575053,-0.013711437582969666,0.2,-4.330296532809735,-0.016146892815595493,0.0003,110,1.0250710248947144
3,26624,4.65,0.23041286999999996,55296,"continuous",394,15,0.176171875,0.5317190289497375,0.011809649,0.0036112642592343036,-0.014742790721356869,0.2,-4.327997677028179,-0.018555285249021836,0.0003,120,1.0246185064315796
4,28672,4.65,0.24357661999999997,57344,"continuous",393,20,0.17958984375,0.5379936993122101,0.012080191,0.003736550928442739,-0.019301850348711014,0.2,-4.317991818487644,-0.016336340521229432,0.0003,130,1.0184193849563599
5,30720,4.19,0.23854508,59392,"continuous",387,26,0.186767578125,0.5815755426883698,0.012660759,0.003554093605634989,-0.02712211385369301,0.2,-4.2952296659350395,-0.016296333052014233,0.0003,140,1.0113787651062012
1,32768,4.4,0.26592358000000005,71680,"continuous",313,6,0.183837890625,0.5411633253097534,0.013355294,0.003986168911069399,-0.02787117473781109,0.2,-4.2904845342040066,-0.016335314841853688,0.0003,150,1.0131902694702148
2,34816,4.52,0.27959893999999996,73728,"continuous",304,13,0.161083984375,0.700324147939682,0.011950759,0.0022790285765950102,-0.03378349915146828,0.2,-4.285116682946682,-0.015804915502667428,0.0003,160,1.0083208084106445
3,36864,4.26,0.29234445,75776,"continuous",292,21,0.1705078125,0.7773787975311279,0.014726036,0.0018706527938775253,-0.009483901783823967,0.2,-4.292529578506946,-0.017619564573396928,0.0003,170,1.015198826789856
4,38912,4.33,0.29913606000000004,77824,"continuous",286,28,0.17529296875,0.7670248299837112,0.014800261,0.0018943140872579533,-0.04291699826717377,0.2,-4.30848827958107,-0.02184662670479156,0.0003,180,1.0196634531021118
5,40960,4.13,0.29100298,79872,"continuous",283,36,0.20673828125,0.7868305891752243,0.01589707,0.0018136022743419744,-0.037926189601421356,0.2,-4.31703734099865,-0.0261532460921444,0.0003,190,1.0202964544296265
1,43008,4.09,0.31400828999999997,92160,"continuous",283,7,0.179296875,0.7718124240636826,0.014065906,0.001971196595332003,0.016505450010299683,0.2,-4.282591786980629,-0.026041363553667908,0.0003,200,1.0002789497375488
2,45056,4.09,0.32314003,94208,"continuous",263,15,0.2080078125,0.800129622220993,0.018752899,0.0017020740999214468,-0.04674205929040909,0.2,-4.223161472380161,-0.03258219760900829,0.0003,210,0.981048583984375
3,47104,4.03,0.3300344400000001,96256,"continuous",262,23,0.226513671875,0.8400403410196304,0.01760947,0.001364874931095983,-0.03021594136953354,0.2,-4.180245853960514,-0.03608849259908311,0.0003,220,0.9699409008026123
4,49152,4.02,0.34284355,98304,"continuous",262,31,0.187451171875,0.8829731196165085,0.017718915,0.0009579686528013553,-0.02363046258687973,0.2,-4.1318756833672525,-0.03273426561790984,0.0003,230,0.9527873992919922
5,51200,4.0,0.35417169000000004,100352,"continuous",259,39,0.189208984375,0.9201400279998779,0.01480172,0.0006822021877724183,-0.05835173651576042,0.2,-4.071139486134053,-0.03598252467927523,0.0003,240,0.9340165257453918
1,53248,3.95,0.33217521999999994,112640,"continuous",295,6,0.16484375,0.9529832564294338,0.014911478,0.0003973609515696808,-0.02974717877805233,0.2,-4.0248581022024155,-0.027505854073388035,0.0003,250,0.9256113171577454
2,55296,3.93,0.32902504,114688,"continuous",284,14,0.17138671875,0.7138932943344116,0.012342032,0.002961306300494471,-0.013042781502008438,0.2,-4.01038325726986,-0.013245945444214157,0.0003,260,0.92636638879776
3,57344,3.94,0.31803675000000003,116736,"continuous",284,21,0.13408203125,0.6643423438072205,0.011647016,0.003635326315634302,0.016946956515312195,0.2,-4.018290214240551,-0.010574791763792746,0.0003,270,0.9320905804634094
4,59392,3.94,0.33151976000000005,118784,"continuous",284,28,0.134033203125,0.7041918635368347,0.019456096,0.0031830340460146543,0.027903474867343903,0.2,-4.026128613948822,-0.009803300119529013,0.0003,280,0.93326735496521
5,61440,3.92,0.3338509,120832,"continuous",285,35,0.115869140625,0.7090590596199036,0.0136564765,0.003118575701955706,-0.010336967185139656,0.2,-4.008675044775009,-0.004733890127681661,0.0003,290,0.9204778671264648
1,63488,4.0,0.36876135000000004,133120,"continuous",266,7,0.157470703125,0.6977835595607758,0.015319742,0.0033393920777598394,-0.01673838123679161,0.2,-3.9855172194540502,-0.005254768559825607,0.0003,300,0.9187127947807312
2,65536,4.0,0.36786058000000005,135168,"continuous",263,15,0.12685546875,0.9637022018432617,0.011888417,0.00012527560970738706,0.0069417646154761314,0.2,-3.974517358839512,-0.011009468612610363,0.0003,310,0.9153990745544434
3,67584,4.0,0.3676783700000001,137216,"continuous",264,23,0.2421875,0.9786278195679188,0.020194124,0.00020989481139963573,-0.03148477151989937,0.2,-3.9521116368472575,-0.024879784966469743,0.0003,320,0.9089234471321106
4,69632,4.0,0.36734240999999995,139264,"continuous",263,31,0.18662109375,0.9822585973888636,0.018257549,0.0001609773404624093,-0.026082925498485565,0.2,-3.922780600190163,-0.013183279491204302,0.0003,330,0.9020218849182129
5,71680,4.0,0.3703785499999999,141312,"continuous",262,39,0.1634765625,0.9758250694721937,0.017600086,0.00024042684968890172,0.04651644825935364,0.2,-3.901953862607479,-0.0027478638672619126,0.0003,340,0.9012983441352844
1,73728,4.0,0.37109287,153600,"continuous",257,7,0.14765625,0.9570018798112869,0.009551033,0.00043292740496951864,-0.018797799944877625,0.2,-3.8949847616255284,0.0005411736499809194,0.0003,350,0.9030917286872864
2,75776,4.0,0.36964369,155648,"continuous",258,15,0.184521484375,0.9727088175714016,0.01413323,0.000263860865867116,-0.016919242218136787,0.2,-3.889545030146837,-0.004267311499279458,0.0003,360,0.9032780528068542
3,77824,4.0,0.3680354800000001,157696,"continuous",256,23,0.152587890625,0.9354958459734917,0.011870395,0.0006518460035778162,-0.004211938474327326,0.2,-3.8795653767883778,-0.004932883313449566,0.0003,370,0.9028566479682922
4,79872,4.0,0.36642236000000006,159744,"continuous",255,32,0.156005859375,0.9359394982457161,0.01197309,0.0006798104923035452,-0.01866321451961994,0.2,-3.879594948887825,-0.005163974637980573,0.0003,380,0.9045277237892151
5,81920,4.0,0.37194736999999994,161792,"continuous",255,40,0.14365234375,0.9598125033080578,0.011949108,0.0003843824723048783,0.009320836514234543,0.2,-3.8560564652085305,0.0029624298214912413,0.0003,390,0.8933615684509277
1,83968,3.99,0.36756145999999995,174080,"continuous",262,7,0.15927734375,0.9558528587222099,0.012723189,0.0004285819637601662,-0.011723196133971214,0.2,-3.8346827633678915,-0.003040777918067761,0.0003,400,0.894498348236084
2,86016,3.98,0.36785447,176128,"continuous",259,15,0.192431640625,0.9430140592157841,0.02457921,0.0005451872826157001,-0.002427330007776618,0.2,-3.837278036773205,-0.004045362486795057,0.0003,410,0.8973104357719421
3,88064,3.98,0.3659996499999999,178176,"continuous",255,24,0.205615234375,0.9317468404769897,0.019392181,0.0006410507362005546,0.04804205149412155,0.2,-3.828817581385374,-0.0040396641794359315,0.0003,420,0.8959620594978333
4,90112,4.0,0.37238692000000007,180224,"continuous",255,32,0.13251953125,0.9392867498099804,0.011903455,0.0006474414042429543,0.027299029752612114,0.2,-3.813931456208229,-0.00036249488621251655,0.0003,430,0.8926649689674377
5,92160,4.0,0.37223388999999996,182272,"continuous",256,39,0.132470703125,0.9461927004158497,0.008712182,0.00048505351382175375,0.01245788112282753,0.2,-3.7996182098984717,-0.0006276851090660784,0.0003,440,0.8928306698799133
1,94208,4.0,0.37210087999999997,194560,"continuous",264,7,0.124658203125,0.9648460038006306,0.010035014,0.00036757543398806546,0.00027140762540511787,0.2,-3.7922085888683794,-0.0006069291288440581,0.0003,450,0.8962861895561218
