time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,custom/pamdp_timestep,custom/agent_type,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates
1,2048,3.02,0.00811622,0,"discrete",286,7,,,,,,,,,,
2,4096,2.81,0.00697461,2048,"discrete",302,13,0.343896484375,-31.302532196044922,0.03325344,0.000768671822925171,-0.009571476839482784,0.2,-1.0754453044384717,-0.016509935481008143,0.0003,10
3,6144,3.43,0.01854279,4096,"discrete",321,19,0.617578125,-0.024770498275756836,0.04486042,0.00031969791630217517,-0.06299614161252975,0.2,-0.9875049971044063,-0.060022363724419846,0.0003,20
4,8192,3.84,0.027177309999999996,6144,"discrete",343,23,0.413427734375,-0.007271409034729004,0.029757177,0.000584211051273087,-0.05872953683137894,0.2,-0.8607011448591948,-0.054826600092928855,0.0003,30
5,10240,4.53,0.03143801,8192,"discrete",367,27,0.468408203125,0.07233184576034546,0.0571507,0.0006277613797465165,-0.0024198333267122507,0.2,-0.6490968950092793,-0.05406072593468707,0.0003,40
1,12288,3.94,0.08615640999999999,20480,"discrete",689,2,0.244384765625,-0.059879183769226074,0.048909437,0.0007537889061495662,-0.054453566670417786,0.2,-0.4723987185396254,-0.04641459429694805,0.0003,50
2,14336,3.86,0.08909049999999999,22528,"discrete",683,5,0.09970703125,0.034735918045043945,0.016066551,0.0013555982386606047,-0.04727360978722572,0.2,-0.3377587554976344,-0.028705688954505603,0.0003,60
3,16384,4.43,0.09471929999999999,24576,"discrete",698,8,0.05107421875,0.3196592926979065,0.008434225,0.0010712257989325736,-0.03386399894952774,0.2,-0.25614174143411217,-0.017159595637349413,0.0003,70
4,18432,4.3,0.10133716,26624,"discrete",707,11,0.0259765625,0.395246684551239,0.003383012,0.001038933946074394,-0.01670161262154579,0.2,-0.19755334728397428,-0.007854632516682614,0.0003,80
5,20480,4.3,0.10554697999999998,28672,"discrete",720,14,0.02734375,0.3126521110534668,0.003634582,0.0011176617772434838,0.000965683429967612,0.2,-0.1890412590932101,-0.007435991500824457,0.0003,90
1,22528,3.85,0.15425073,40960,"discrete",675,3,0.02607421875,0.43960171937942505,0.0026222789,0.0010225102138065266,-0.001841716468334198,0.2,-0.1717551900073886,-0.00795965620491188,0.0003,100
