custom/cycle,custom/agent_name,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/pamdp_timestep,custom/seed,custom/env,time/time_elapsed,custom/agent_type,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/std,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
0,"PPO-PPO",1.34,-8.45234496,2048,6144,1,"Goal-v0",2,"continuous",1,799,,,,,,,,,,,
,,1.34,-8.65278268,4096,8192,,,5,"continuous",2,763,0.0069288057,0.0003,0.07161927223205566,0.2,3.2280538082122803,0.9991377592086792,30.478476156294345,10,-5.6726909399032595,0.08212890625,-0.008531929657328874
,,1.36,-8.66185596,6144,10240,,,8,"continuous",3,709,0.00618453,0.0003,0.25986993312835693,0.2,2.877105951309204,1.0086784362792969,12.773898351937532,20,-5.694754603505134,0.06171875,-0.0065699156184564345
1,"PPO-PPO",1.53,-9.751304099999999,8192,18432,1,"Goal-v0",3,"continuous",1,675,0.0072181877,0.0003,0.5865432918071747,0.2,3.039137363433838,1.0099565982818604,6.321538333594799,30,-5.714038011431694,0.0701171875,-0.00642905436179717
,,1.67,-9.30101532,10240,20480,,,6,"continuous",2,677,0.0099121705,0.0003,0.6072800159454346,0.2,3.6801397800445557,1.0098950862884521,6.922138076648116,40,-5.71378404200077,0.1140625,-0.01073160039668437
,,1.76,-9.966170960000001,12288,22528,,,8,"continuous",3,685,0.013023456,0.0003,0.6314379870891571,0.2,4.140361309051514,1.008595585823059,7.532949860394001,50,-5.712885119020939,0.13408203125,-0.009700459749728907
2,"PPO-PPO",1.33,-8.86304422,14336,30720,1,"Goal-v0",2,"continuous",1,719,0.013707266,0.0003,0.7030243873596191,0.2,5.664360046386719,1.0074546337127686,6.4200598411262035,60,-5.707914976775646,0.145849609375,-0.010643696678744163
,,1.47,-9.14528359,16384,32768,,,5,"continuous",2,694,0.010861969,0.0003,0.5266831517219543,0.2,2.278271436691284,1.0100232362747192,11.248594577237963,70,-5.710274213552475,0.16513671875,-0.012278352001158056
,,1.29,-8.54516121,18432,34816,,,9,"continuous",3,679,0.014977879,0.0003,0.7007812857627869,0.2,3.7197797298431396,1.0084913969039917,5.6082648446783425,80,-5.713027147948742,0.1826171875,-0.011756974286981858
3,"PPO-PPO",1.47,-9.08369445,20480,43008,1,"Goal-v0",2,"continuous",1,719,0.013483038,0.0003,0.6751508116722107,0.2,4.312344551086426,1.012460470199585,6.207426044344902,90,-5.719389627873897,0.1978515625,-0.011609424532798585
