custom/cycle,custom/agent_name,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/pamdp_timestep,custom/seed,custom/env,time/time_elapsed,custom/agent_type,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
0,"PPO-PPO",1.44,-7.72238193,2048,0,1,"Goal-v0",2,"discrete",1,829,,,,,,,,,,
,,1.21,-8.06320305,4096,2048,,,4,"discrete",2,825,0.038411744,0.0003,0.0680270791053772,0.2,5.452325820922852,39.79125539213419,10,-1.0674785099923612,0.51923828125,-0.06883257120061899
,,1.05,-7.119117909999999,6144,4096,,,7,"discrete",3,797,0.17344299,0.0003,0.2253326177597046,0.2,7.834134101867676,8.321316772699356,20,-0.8915248243138194,0.45615234375,-0.08543332128319889
1,"PPO-PPO",1.0,-6.98259651,8192,12288,1,"Goal-v0",1,"discrete",1,1218,0.027778814,0.0003,0.38312768936157227,0.2,0.3880661725997925,1.6849613888422028,30,-0.7506547758355737,0.098095703125,-0.028082487112260423
,,1.02,-7.15626066,10240,14336,,,3,"discrete",2,1081,0.009120823,0.0003,0.371765673160553,0.2,0.05752279981970787,0.3782072221743874,40,-0.6983514593914151,0.023046875,-0.009341976584983059
,,1.0,-7.063031090000002,12288,16384,,,5,"discrete",3,1035,0.010918945,0.0003,0.44120264053344727,0.2,0.06757166236639023,0.4258931485703215,50,-0.7046895254403353,0.093310546875,-0.014831213939760345
2,"PPO-PPO",1.01,-7.13929699,14336,24576,1,"Goal-v0",1,"discrete",1,1225,0.0026713847,0.0003,0.38066285848617554,0.2,0.03757653012871742,0.1413765156408772,60,-0.7007105093449354,0.016943359375,-0.0011118251160951332
,,1.0,-6.9854023100000004,16384,26624,,,3,"discrete",2,1133,0.015075624,0.0003,0.3993532657623291,0.2,-0.008004661649465561,0.3178349268506281,70,-0.6965068355202675,0.10859375,-0.008873024996864843
,,1.01,-7.0729900500000005,18432,28672,,,5,"discrete",3,1093,0.014767373,0.0003,-0.15824532508850098,0.2,0.0582016222178936,0.24077150807715952,80,-0.6591413659974933,0.09228515625,-0.007240163623646367
3,"PPO-PPO",1.0,-6.968178879999999,20480,36864,1,"Goal-v0",1,"discrete",1,1251,0.00911718,0.0003,0.03725123405456543,0.2,0.05541948229074478,0.08778592104790732,90,-0.6142930526286363,0.060009765625,-0.0037227467575576155
,,1.0,-6.96353017,22528,38912,,,3,"discrete",2,1150,0.008226351,0.0003,0.11490380764007568,0.2,0.03783165290951729,0.1582217800198123,100,-0.5650207178667188,0.064599609375,-0.0058293648238759484
,,1.0,-6.93199087,24576,40960,,,5,"discrete",3,1124,0.006860791,0.0003,0.1647855043411255,0.2,0.034746550023555756,0.10887766620144249,110,-0.5112974603660405,0.064306640625,-0.0055143102305009965
4,"PPO-PPO",1.0,-6.903204769999999,26624,49152,1,"Goal-v0",1,"discrete",1,1274,0.001176368,0.0003,0.5051866471767426,0.2,0.04289137199521065,0.16494284217478708,120,-0.4576113042421639,0.02373046875,-0.0023664997148443944
,,1.0,-6.885839709999999,28672,51200,,,3,"discrete",2,1141,0.0046429266,0.0003,0.17507517337799072,0.2,0.4161713123321533,0.12635473592672497,130,-0.42442568615078924,0.063037109375,-0.005629497327026911
,,1.01,-7.03950379,30720,53248,,,5,"discrete",3,1104,0.0040225717,0.0003,-1.1920928955078125e-07,0.2,0.05588133633136749,0.1567837952170521,140,-0.3677622600458562,0.062109375,-0.005882446753093973
5,"PPO-PPO",1.0,-6.967424259999999,32768,61440,1,"Goal-v0",1,"discrete",1,1278,0.0029065548,0.0003,0.2118978500366211,0.2,0.0455934964120388,0.12585367960855365,150,-0.3236842418089509,0.034130859375,-0.003386147035053
,,1.0,-6.96565572,34816,63488,,,3,"discrete",2,1126,0.0023002164,0.0003,-1.1920928955078125e-07,0.2,0.04028657078742981,0.10570024052867666,160,-0.276459286455065,0.023876953125,-0.002118889348639641
,,1.0,-6.971968970000002,36864,65536,,,5,"discrete",3,1093,0.0018372047,0.0003,5.960464477539063e-08,0.2,0.05864672362804413,0.10856972736073658,170,-0.2348003736231476,0.024755859375,-0.0016952449848758988
6,"PPO-PPO",1.0,-6.89644127,38912,73728,1,"Goal-v0",1,"discrete",1,1259,0.0015424129,0.0003,0.0,0.2,0.03925295174121857,0.10977677919436246,180,-0.20164353367872537,0.0310546875,-0.0026306445608497596
,,1.0,-6.86228387,40960,75776,,,3,"discrete",2,1154,0.0007959807,0.0003,-1.1920928955078125e-07,0.2,0.06282441318035126,0.1325378438923508,190,-0.171197818685323,0.022412109375,-0.002140702244651038
,,1.0,-6.892179370000001,43008,77824,,,5,"discrete",3,1102,0.00024174125,0.0003,0.5009137392044067,0.2,0.12819918990135193,0.16696325258817524,200,-0.14386200336739421,0.012060546875,-0.0008911928875022568
7,"PPO-PPO",1.0,-6.7987269800000005,45056,86016,1,"Goal-v0",1,"discrete",1,1235,0.0007372838,0.0003,5.960464477539063e-08,0.2,0.059768080711364746,0.11618396965786815,210,-0.132534190826118,0.01201171875,-0.0011267259891610593
,,1.0,-6.891147909999998,47104,88064,,,3,"discrete",2,1116,0.0007221347,0.0003,5.960464477539063e-08,0.2,0.06053091213107109,0.17553171769250184,220,-0.1114586666226387,0.01025390625,-0.0006222871990757995
,,1.0,-6.876218679999999,49152,90112,,,5,"discrete",3,1096,0.00051204907,0.0003,0.0,0.2,0.047864265739917755,0.12910167137160897,230,-0.0917031018761918,0.009423828125,-0.0007475080521544442
8,"PPO-PPO",1.0,-6.8475425,51200,98304,1,"Goal-v0",1,"discrete",1,1301,0.00034346842,0.0003,-1.8368568420410156,0.2,0.06058001518249512,0.39756323059555143,240,-0.0859790772665292,0.003125,-0.0013656807117513382
,,1.0,-6.924501380000001,53248,100352,,,3,"discrete",2,1208,0.00028123904,0.0003,0.0,0.2,0.06913818418979645,0.1316729277605191,250,-0.06630894257687033,0.006298828125,-0.0006089667847845703
,,1.0,-6.880763870000001,55296,102400,,,5,"discrete",3,1176,0.00035388483,0.0003,0.0,0.2,0.05535522848367691,0.13971633326727897,260,-0.05483680561883375,0.008203125,-0.0009246940942830406
