custom/env,custom/agent_name,custom/seed,rollout/ep_rew_mean,time/total_timesteps,custom/agent_type,time/iterations,rollout/ep_len_mean,time/fps,custom/pamdp_timestep,custom/cycle,time/time_elapsed,train/clip_range,train/std,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss
"Platform-v0","PPO-PPO",1,0.017257019999999998,2048,"continuous",1,3.72,376,6144,0,5,,,,,,,,,,,
,,,0.01848296,4096,"continuous",2,3.75,369,8192,,11,0.2,0.9991521835327148,-8.344264030456543,0.079736328125,-0.005720507209480275,10,-0.010351551696658134,0.0073990384,0.0003,0.0012476571318984497,-4.2588359579443935
,,,0.020739450000000003,6144,"continuous",3,3.16,369,10240,,16,0.2,0.9923567771911621,0.06044226884841919,0.18154296875,-0.021863690989266615,20,-3.9236358134076e-05,0.01208609,0.0003,0.0006835526944541925,-4.2438937917351724
"Platform-v0","PPO-PPO",1,0.07165896,8192,"continuous",1,4.81,624,18432,1,3,0.2,0.9862105846405029,0.11459732055664062,0.201220703125,-0.027003886236343533,30,-0.028212882578372955,0.01375219,0.0003,0.0007930829548058682,-4.223318660259247
,,,0.07267619,10240,"continuous",2,4.14,612,20480,,6,0.2,0.9822440147399902,0.08662915229797363,0.234228515625,-0.02851515734801069,40,-0.0021059848368167877,0.014251233,0.0003,0.0009218665948537818,-4.210585096478463
,,,0.08377876000000001,12288,"continuous",3,3.87,616,22528,,9,0.2,0.979824960231781,0.3533068895339966,0.2888671875,-0.038448404794326055,50,-0.05575983226299286,0.017400596,0.0003,0.0008359779310012528,-4.199752369523049
"Platform-v0","PPO-PPO",1,0.10529408999999999,14336,"continuous",1,4.01,762,30720,2,2,0.2,0.9747442603111267,0.4224732518196106,0.300439453125,-0.0383631208940642,60,-0.00695451907813549,0.020388821,0.0003,0.0008131306039103947,-4.1882931485772135
,,,0.11680552000000001,16384,"continuous",2,4.11,702,32768,,5,0.2,0.961162269115448,0.4519113302230835,0.391357421875,-0.04469679019239266,70,-0.02515680342912674,0.029410146,0.0003,0.0011018305038533072,-4.159511542320251
,,,0.12936859,18432,"continuous",3,3.92,672,34816,,9,0.2,0.9615943431854248,0.4491403102874756,0.31279296875,-0.03195813779602759,80,-0.03549788519740105,0.025879143,0.0003,0.0013569118300438276,-4.13705261349678
"Platform-v0","PPO-PPO",1,0.16410367000000003,20480,"continuous",1,4.23,571,43008,3,3,0.2,0.9634526371955872,0.4227790832519531,0.21328125,-0.02192204850143753,90,-0.04428412765264511,0.014011688,0.0003,0.001689237475329719,-4.140479551255703
,,,0.15793141,22528,"continuous",2,4.23,526,45056,,7,0.2,0.9621069431304932,0.3756105303764343,0.15634765625,-0.01808956545719411,100,-0.0020640825387090445,0.012421181,0.0003,0.00307669322246511,-4.1414611548185345
,,,0.17338726999999998,24576,"continuous",3,4.22,519,47104,,11,0.2,0.9519394040107727,0.42776602506637573,0.126416015625,-0.013874842546647415,110,-0.0008635843405500054,0.010064954,0.0003,0.003099614309394383,-4.1210036247968675
"Platform-v0","PPO-PPO",1,0.25096714000000003,26624,"continuous",1,5.63,386,55296,4,5,0.2,0.9434361457824707,0.4209534525871277,0.11005859375,-0.009766380704240874,120,0.021147318184375763,0.008106915,0.0003,0.0032054655901447406,-4.092086963355541
,,,0.24818170000000003,28672,"continuous",2,5.12,360,57344,,11,0.2,0.9486420154571533,0.5276696979999542,0.11220703125,-0.007954888931999448,130,-0.007878195494413376,0.00965616,0.0003,0.0027487451221531955,-4.089500974118709
,,,0.25814158,30720,"continuous",3,5.09,351,59392,,17,0.2,0.943322479724884,0.6103111803531647,0.140087890625,-0.0138046257867245,140,0.00985016394406557,0.010007074,0.0003,0.0028293413673964097,-4.087470714747906
"Platform-v0","PPO-PPO",1,0.26368497999999996,32768,"continuous",1,4.93,323,67584,5,6,0.2,0.9384366869926453,0.6489214599132538,0.136474609375,-0.012015885210712441,150,-0.004349265713244677,0.012076,0.0003,0.0027133025381772314,-4.070376296341419
,,,0.27902844000000004,34816,"continuous",2,5.12,315,69632,,12,0.2,0.9379854202270508,0.7102140188217163,0.150439453125,-0.013899344386300073,160,-0.00761551596224308,0.011068599,0.0003,0.0022161532560858177,-4.063646264374256
,,,0.28445157,36864,"continuous",3,4.82,302,71680,,20,0.2,0.9276651740074158,0.7459202110767365,0.142822265625,-0.012251709011616185,170,-0.0024080127477645874,0.011730775,0.0003,0.0019054125263210154,-4.043878875672817
