custom/env,custom/agent_name,custom/seed,rollout/ep_rew_mean,time/total_timesteps,custom/agent_type,time/iterations,rollout/ep_len_mean,time/fps,custom/pamdp_timestep,custom/cycle,time/time_elapsed,train/clip_range,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss
"Platform-v0","PPO-PPO",1,0.00811622,2048,"discrete",1,3.02,256,0,0,7,,,,,,,,,,
,,,0.00697461,4096,"discrete",2,2.81,262,2048,,15,0.2,-31.302532196044922,0.343896484375,-0.016509935481008143,10,-0.009571476839482784,0.03325344,0.0003,0.000768671822925171,-1.0754453044384717
,,,0.01854279,6144,"discrete",3,3.43,283,4096,,21,0.2,-0.024770498275756836,0.617578125,-0.060022363724419846,20,-0.06299614161252975,0.04486042,0.0003,0.00031969791630217517,-0.9875049971044063
"Platform-v0","PPO-PPO",1,0.03957428,8192,"discrete",1,3.35,415,12288,1,4,0.2,-0.007271409034729004,0.413427734375,-0.054826600092928855,30,-0.05872953683137894,0.029757177,0.0003,0.000584211051273087,-0.8607011448591948
,,,0.05526552,10240,"discrete",2,3.88,425,14336,,9,0.2,0.05999922752380371,0.518896484375,-0.06979147062229459,40,-0.09083964675664902,0.05964032,0.0003,0.0010829832155650366,-0.641597986780107
,,,0.062308699999999995,12288,"discrete",3,4.23,465,16384,,13,0.2,0.10904949903488159,0.242138671875,-0.04681608733808389,50,-0.06445754319429398,0.08302962,0.0003,0.001236804760992527,-0.41834362102672457
"Platform-v0","PPO-PPO",1,0.10120217999999997,14336,"discrete",1,4.01,708,24576,2,2,0.2,0.2406039834022522,0.084130859375,-0.022795451999991202,60,-0.018720926716923714,0.008482637,0.0003,0.000887134331424022,-0.27489663790911434
,,,0.10451475,16384,"discrete",2,4.24,668,26624,,6,0.2,0.34499627351760864,0.03310546875,-0.011607021375675685,70,0.0036759008653461933,0.00508458,0.0003,0.001164015900758386,-0.21169970026239754
,,,0.10636648000000001,18432,"discrete",3,4.06,678,28672,,9,0.2,0.42816615104675293,0.02177734375,-0.008349716600059764,80,-0.027440926060080528,0.004547527,0.0003,0.0010634752297846717,-0.1710530994925648
"Platform-v0","PPO-PPO",1,0.13108725,20480,"discrete",1,3.67,679,36864,3,3,0.2,0.5094313621520996,0.019140625,-0.008515639952383936,90,-0.006047475151717663,0.0029313178,0.0003,0.0008755048952480138,-0.183226639428176
