time/iterations,custom/cycle,rollout/ep_rew_mean,time/time_elapsed,custom/env,custom/agent_name,time/total_timesteps,rollout/ep_len_mean,time/fps,custom/seed,custom/agent_type,custom/pamdp_timestep,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/std,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
1,0,0.00857516,7,"Platform-v0","PPO-PPO",2048,2.83,260,1,"continuous",2048,,,,,,,,,,,
1,1,0.015080709999999999,6,"Platform-v0","PPO-PPO",4096,3.69,294,1,"continuous",6144,0.00897954,0.06025390625,0.0003,0.002630477072671056,0.2,0.9875025749206543,10,-4.236648325622082,-20.139814376831055,-0.003548783597216243,0.0007316430354876502
1,2,0.01963821,5,"Platform-v0","PPO-PPO",6144,3.07,346,1,"continuous",10240,0.010154905,0.155810546875,0.0003,-0.05102381110191345,0.2,0.988656222820282,20,-4.2238498598337175,0.05558699369430542,-0.018587624772044363,0.0005279036770389212
1,3,0.04449635999999999,4,"Platform-v0","PPO-PPO",8192,4.06,448,1,"continuous",14336,0.011340829,0.17109375,0.0003,-0.01846000738441944,0.2,0.9847763180732727,30,-4.2154650628566745,0.09357583522796631,-0.023845015547703952,0.0007573197944111598
1,4,0.0730655,3,"Platform-v0","PPO-PPO",10240,4.71,582,1,"continuous",18432,0.014267093,0.226953125,0.0003,-0.03245996683835983,0.2,0.9850135445594788,40,-4.212611626088619,0.09245622158050537,-0.030847227059712167,0.0009698833657239448
1,5,0.08228884,3,"Platform-v0","PPO-PPO",12288,4.34,629,1,"continuous",22528,0.015193164,0.253955078125,0.0003,0.0022040854673832655,0.2,0.98665452003479,50,-4.212978975474835,0.23100411891937256,-0.03103575101995375,0.0007904097431492118
1,6,0.10287447,3,"Platform-v0","PPO-PPO",14336,4.24,638,1,"continuous",26624,0.0243048,0.3439453125,0.0003,-0.07850295305252075,0.2,0.9889925122261047,60,-4.220268170535564,0.41820061206817627,-0.045660363785282244,0.0007710992928878114
1,7,0.10666976000000002,3,"Platform-v0","PPO-PPO",16384,4.05,666,1,"continuous",30720,0.022382423,0.28134765625,0.0003,-0.02767949178814888,0.2,0.983675479888916,70,-4.214822539687157,0.43631553649902344,-0.035843386736814864,0.0009244249458333798
1,8,0.12850268,3,"Platform-v0","PPO-PPO",18432,4.05,621,1,"continuous",34816,0.024739467,0.3556640625,0.0003,-0.0581200011074543,0.2,0.9727789759635925,80,-4.188071970641613,0.5647866129875183,-0.04357770402857568,0.0007339416076774796
1,9,0.13005527,3,"Platform-v0","PPO-PPO",20480,3.96,603,1,"continuous",38912,0.03069626,0.3185546875,0.0003,-0.03912649303674698,0.2,0.9586946368217468,90,-4.147583736479282,0.4565337300300598,-0.03449614682031097,0.0014033561339601875
1,10,0.15090934,3,"Platform-v0","PPO-PPO",22528,4.29,559,1,"continuous",43008,0.019524168,0.227490234375,0.0003,-0.01908871904015541,0.2,0.9464848041534424,100,-4.1065779104828835,0.442770779132843,-0.022609634717809968,0.001714808748511132
1,11,0.15720897,4,"Platform-v0","PPO-PPO",24576,4.13,500,1,"continuous",47104,0.012716686,0.191650390625,0.0003,-0.025619277730584145,0.2,0.9472501873970032,110,-4.090689191222191,0.4572727680206299,-0.02221839539415669,0.0021481808296812234
1,12,0.17680115999999998,4,"Platform-v0","PPO-PPO",26624,4.56,463,1,"continuous",51200,0.010328036,0.1322265625,0.0003,-0.01659705489873886,0.2,0.936621367931366,120,-4.069981800019741,0.4245697855949402,-0.014325878201634622,0.0028565952958160778
1,13,0.18846475,4,"Platform-v0","PPO-PPO",28672,4.74,433,1,"continuous",55296,0.010778787,0.139599609375,0.0003,0.019435878843069077,0.2,0.9291617274284363,130,-4.040185399353504,0.46564781665802,-0.01453733476519119,0.003110910976101877
1,14,0.21410276,5,"Platform-v0","PPO-PPO",30720,4.91,388,1,"continuous",59392,0.01106608,0.13798828125,0.0003,-0.03746597841382027,0.2,0.9231357574462891,140,-4.01740448474884,0.49692195653915405,-0.012682749736995902,0.0031577724308590404
1,15,0.24970806,5,"Platform-v0","PPO-PPO",32768,5.2,344,1,"continuous",63488,0.008355555,0.12783203125,0.0003,-0.010568752884864807,0.2,0.9268207550048828,150,-4.019047737121582,0.5572930872440338,-0.013026789677678608,0.0031045592764712636
1,16,0.26086422000000004,6,"Platform-v0","PPO-PPO",34816,5.47,326,1,"continuous",67584,0.009795215,0.142529296875,0.0003,-0.005150913260877132,0.2,0.9334279894828796,160,-4.036959637701512,0.6304299831390381,-0.011484933145402465,0.0025118690624367445
1,17,0.26785926000000004,7,"Platform-v0","PPO-PPO",36864,5.18,291,1,"continuous",71680,0.010275193,0.128662109375,0.0003,-0.01989789493381977,0.2,0.9425151944160461,170,-4.060277318954467,0.7161147892475128,-0.011215863678080496,0.002206022203063185
1,18,0.27560803,6,"Platform-v0","PPO-PPO",38912,5.04,301,1,"continuous",75776,0.008792847,0.117333984375,0.0003,0.008127368055284023,0.2,0.9414510130882263,180,-4.072603975236416,0.7507676482200623,-0.010713038780522766,0.0018101200577802957
1,19,0.27384101,6,"Platform-v0","PPO-PPO",40960,4.99,293,1,"continuous",79872,0.008928233,0.113671875,0.0003,-0.014312728308141232,0.2,0.9313796162605286,190,-4.050588412582874,0.7975926399230957,-0.011404176670475863,0.0016076362211606466
1,20,0.28773379000000004,7,"Platform-v0","PPO-PPO",43008,4.93,290,1,"continuous",83968,0.011028916,0.14951171875,0.0003,0.0046883681789040565,0.2,0.9262279868125916,200,-4.024825270473957,0.7928187102079391,-0.015106052259216084,0.0015786436164489715
1,21,0.27508589,7,"Platform-v0","PPO-PPO",45056,4.89,283,1,"continuous",88064,0.010721093,0.134228515625,0.0003,-0.0021070088259875774,0.2,0.9182607531547546,210,-4.00163981243968,0.8040720522403717,-0.013985700401826761,0.0014859965100185945
1,22,0.28109328000000006,7,"Platform-v0","PPO-PPO",47104,4.83,268,1,"continuous",92160,0.008443687,0.118701171875,0.0003,-0.008563260547816753,0.2,0.9124484658241272,220,-3.9753024488687516,0.7661343812942505,-0.011125234508654103,0.0018097615138685796
1,23,0.28663954,7,"Platform-v0","PPO-PPO",49152,4.65,277,1,"continuous",96256,0.006197151,0.075634765625,0.0003,-0.003207195084542036,0.2,0.9135465621948242,230,-3.9667525328695774,0.7869052290916443,-0.0061904479196527975,0.0015282905726053287
1,24,0.29132567,7,"Platform-v0","PPO-PPO",51200,4.68,272,1,"continuous",100352,0.00887488,0.0912109375,0.0003,0.01865009218454361,0.2,0.9055659770965576,240,-3.950395569205284,0.7715747058391571,-0.006026354753703345,0.0017675880386377684
1,25,0.29184799,7,"Platform-v0","PPO-PPO",53248,4.59,262,1,"continuous",104448,0.011356749,0.113232421875,0.0003,-0.013350395485758781,0.2,0.8957260251045227,250,-3.9202278696000574,0.7711559385061264,-0.008596949029015376,0.0018360687834501732
1,26,0.30365611000000003,7,"Platform-v0","PPO-PPO",55296,4.62,264,1,"continuous",108544,0.00676264,0.090478515625,0.0003,0.0075008561834692955,0.2,0.8922317624092102,260,-3.8927992209792137,0.7935007065534592,-0.005936389543057885,0.0015211697607810492
1,27,0.30934658000000004,7,"Platform-v0","PPO-PPO",57344,4.63,267,1,"continuous",112640,0.008289978,0.096923828125,0.0003,0.004298047162592411,0.2,0.8808743953704834,270,-3.8632226288318634,0.7825216799974442,-0.0063698801488499155,0.0016487194330693455
1,28,0.31576489,7,"Platform-v0","PPO-PPO",59392,4.69,259,1,"continuous",116736,0.009574344,0.119140625,0.0003,-0.007942136377096176,0.2,0.8767859935760498,280,-3.831894043087959,0.784642294049263,-0.01080022045498481,0.0016545966833291458
1,29,0.30986829,8,"Platform-v0","PPO-PPO",61440,4.6,255,1,"continuous",120832,0.010862067,0.115576171875,0.0003,-0.011808907613158226,0.2,0.8708593845367432,290,-3.810834515839815,0.8238472938537598,-0.010814344257232733,0.0012992881560421666
1,30,0.31272767,8,"Platform-v0","PPO-PPO",63488,4.61,254,1,"continuous",124928,0.011027938,0.09443359375,0.0003,-0.003007965860888362,0.2,0.8593239784240723,300,-3.7679283156991006,0.8023698776960373,-0.007384541592909954,0.001449058227808564
1,31,0.31645267,7,"Platform-v0","PPO-PPO",65536,4.71,272,1,"continuous",129024,0.007727097,0.080126953125,0.0003,-0.012621857225894928,0.2,0.8481050133705139,310,-3.723558232188225,0.7838037610054016,-0.006254588368756231,0.0015900868684184388
1,32,0.31876589,7,"Platform-v0","PPO-PPO",67584,4.75,270,1,"continuous",133120,0.0073813796,0.062939453125,0.0003,0.012662407010793686,0.2,0.8432657122612,320,-3.6902967296540736,0.7756915539503098,-0.003259283333318308,0.0016842991642988636
1,33,0.31530752999999995,8,"Platform-v0","PPO-PPO",69632,4.71,248,1,"continuous",137216,0.007786328,0.090771484375,0.0003,0.00019750813953578472,0.2,0.8414216041564941,330,-3.675018983334303,0.7826318889856339,-0.008148640670697205,0.0015791844794875941
1,34,0.32357916000000003,7,"Platform-v0","PPO-PPO",71680,4.74,277,1,"continuous",141312,0.009010423,0.094677734375,0.0003,-0.01125164795666933,0.2,0.8353403210639954,340,-3.649785576760769,0.8015407025814056,-0.007587888892157934,0.0014907029291862273
1,35,0.32802322999999994,7,"Platform-v0","PPO-PPO",73728,4.6,272,1,"continuous",145408,0.008876966,0.08896484375,0.0003,-0.015657687559723854,0.2,0.8420979380607605,350,-3.6459911592304706,0.7784245163202286,-0.005281282123178244,0.0016509407962075784
1,36,0.32623977,7,"Platform-v0","PPO-PPO",75776,4.66,275,1,"continuous",149504,0.007141275,0.087109375,0.0003,-0.009061708115041256,0.2,0.8363979458808899,360,-3.6355536080896855,0.8121887147426605,-0.00649150472600013,0.0013634687615194708
1,37,0.32709122,7,"Platform-v0","PPO-PPO",77824,4.76,277,1,"continuous",153600,0.007985154,0.08466796875,0.0003,-0.0067213973961770535,0.2,0.8273946642875671,370,-3.5981581918895245,0.8344995975494385,-0.005513290136877913,0.0011941057830881618
1,38,0.33320914,7,"Platform-v0","PPO-PPO",79872,4.82,280,1,"continuous",157696,0.008368709,0.07294921875,0.0003,-0.0006891596131026745,0.2,0.8261513710021973,380,-3.5712476186454296,0.7834876477718353,-0.0033649608041741884,0.0015375759201560868
1,39,0.33015201,7,"Platform-v0","PPO-PPO",81920,4.6,269,1,"continuous",161792,0.0101841055,0.126025390625,0.0003,-0.020899290218949318,0.2,0.8203456401824951,390,-3.5475376188755035,0.7960317879915237,-0.0073109391858452,0.0014830655589321395
1,40,0.3280553599999999,7,"Platform-v0","PPO-PPO",83968,4.67,280,1,"continuous",165888,0.00972273,0.09990234375,0.0003,-0.003320725169032812,0.2,0.8124797940254211,400,-3.5151352763175963,0.8244993537664413,-0.003057868013274856,0.001260777641527966
1,41,0.33145406,7,"Platform-v0","PPO-PPO",86016,4.55,270,1,"continuous",169984,0.009266265,0.11083984375,0.0003,-0.009083745069801807,0.2,0.8109309077262878,410,-3.492406614869833,0.7780761867761612,-0.00241714755538851,0.0016277435854135547
