time/iterations,custom/cycle,rollout/ep_rew_mean,time/time_elapsed,custom/env,custom/agent_name,time/total_timesteps,rollout/ep_len_mean,time/fps,custom/seed,custom/agent_type,custom/pamdp_timestep,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
1,0,0.00811622,8,"Platform-v0","PPO-PPO",2048,3.02,236,1,"discrete",0,,,,,,,,,,
1,1,0.00847821,8,"Platform-v0","PPO-PPO",4096,2.74,242,1,"discrete",4096,0.03325344,0.343896484375,0.0003,-0.009571476839482784,0.2,10,-1.0754453044384717,-31.302532196044922,-0.016509935481008143,0.000768671822925171
1,2,0.01433764,6,"Platform-v0","PPO-PPO",6144,3.29,303,1,"discrete",8192,0.04120834,0.640966796875,0.0003,-0.106011763215065,0.2,20,-0.9893579551950097,-0.020475268363952637,-0.06782759275229182,0.0003107579378593073
1,3,0.03598944,5,"Platform-v0","PPO-PPO",8192,3.52,350,1,"discrete",12288,0.027654836,0.6533203125,0.0003,-0.05861266329884529,0.2,30,-0.8632823957130313,0.06836092472076416,-0.07274631725740618,0.0005753513276886224
1,4,0.0452989,4,"Platform-v0","PPO-PPO",10240,3.72,430,1,"discrete",16384,0.061097965,0.42138671875,0.0003,-0.04849787801504135,0.2,40,-0.6573092229664326,0.029254376888275146,-0.06115022271987982,0.0009914700022818578
1,5,0.07720420999999998,3,"Platform-v0","PPO-PPO",12288,4.35,589,1,"discrete",20480,0.08754535,0.286669921875,0.0003,-0.06825868785381317,0.2,50,-0.36258240351453425,0.13220524787902832,-0.05197448746766895,0.0011574206177101588
1,6,0.09839928999999997,3,"Platform-v0","PPO-PPO",14336,4.13,633,1,"discrete",24576,0.033711247,0.06201171875,0.0003,-0.043605171144008636,0.2,60,-0.22391801751218737,0.021282076835632324,-0.02757927832280984,0.00098340563763486
1,7,0.11222112,3,"Platform-v0","PPO-PPO",16384,4.0,646,1,"discrete",28672,0.005474176,0.031884765625,0.0003,-0.025620894506573677,0.2,70,-0.1818559817969799,0.46544015407562256,-0.012206976127345115,0.0007426590581417258
1,8,0.11057110000000002,2,"Platform-v0","PPO-PPO",18432,3.76,686,1,"discrete",32768,0.0032736638,0.020654296875,0.0003,-0.01743481308221817,0.2,80,-0.18135353713296354,0.4873446226119995,-0.009852384810074,0.0009329109158898064
1,9,0.13255720000000001,3,"Platform-v0","PPO-PPO",20480,3.96,637,1,"discrete",36864,0.0043275203,0.032373046875,0.0003,-0.01956894062459469,0.2,90,-0.18498742962256073,0.4499713182449341,-0.01058568703228957,0.0011619906452324357
1,10,0.13439478,3,"Platform-v0","PPO-PPO",22528,3.79,579,1,"discrete",40960,0.006149711,0.0595703125,0.0003,-0.015087035484611988,0.2,100,-0.23052573897875844,0.47463756799697876,-0.015934416391246486,0.0014591071716495208
1,11,0.15870375999999997,3,"Platform-v0","PPO-PPO",24576,4.07,543,1,"discrete",45056,0.006021431,0.10537109375,0.0003,-0.01262833084911108,0.2,110,-0.2537509742658585,0.38734251260757446,-0.02046054529491812,0.0020078641187865286
1,12,0.17538244999999994,4,"Platform-v0","PPO-PPO",26624,4.45,469,1,"discrete",49152,0.012835305,0.1822265625,0.0003,-0.049225613474845886,0.2,120,-0.2763140583410859,0.386447012424469,-0.02941474897088483,0.0026339616877521623
1,13,0.18949322,4,"Platform-v0","PPO-PPO",28672,4.76,433,1,"discrete",53248,0.014247691,0.194873046875,0.0003,-0.01731882430613041,0.2,130,-0.2781681248918176,0.44115757942199707,-0.03353810877015349,0.003010873249877477
1,14,0.19927625000000002,4,"Platform-v0","PPO-PPO",30720,4.49,415,1,"discrete",57344,0.021895126,0.203076171875,0.0003,-0.023819223046302795,0.2,140,-0.2512999674770981,0.4848688840866089,-0.03768064016185235,0.0030672319826408057
